Id Cidade                       Cidade                                              Id Estado                       Sigla Estado Estado
------------------------------- --------------------------------------------------- ------------------------------- ------------ ---------------------
264;                            Sao Paulo de Olivenca;                              3;                              AM;          Amazonas;
265;                            Sao Sebastiao do Uatuma;                            3;                              AM;          Amazonas;
266;                            Silves;                                             3;                              AM;          Amazonas;
267;                            Tabatinga;                                          3;                              AM;          Amazonas;
268;                            Tapaua;                                             3;                              AM;          Amazonas;
269;                            Tefe;                                               3;                              AM;          Amazonas;
270;                            Tonantins;                                          3;                              AM;          Amazonas;
271;                            Uarini;                                             3;                              AM;          Amazonas;
272;                            Urucara;                                            3;                              AM;          Amazonas;
273;                            Urucurituba;                                        3;                              AM;          Amazonas;
274;                            Vila Pitinga;                                       3;                              AM;          Amazonas;
275;                            Abacate da Pedreira;                                4;                              AP;          Amapá;
276;                            Agua Branca do Amapari;                             4;                              AP;          Amapá;
277;                            Amapa;                                              4;                              AP;          Amapá;
278;                            Amapari;                                            4;                              AP;          Amapá;
279;                            Ambe;                                               4;                              AP;          Amapá;
280;                            Aporema;                                            4;                              AP;          Amapá;
281;                            Ariri;                                              4;                              AP;          Amapá;
282;                            Bailique;                                           4;                              AP;          Amapá;
283;                            Boca do Jari;                                       4;                              AP;          Amapá;
284;                            Calcoene;                                           4;                              AP;          Amapá;
285;                            Cantanzal;                                          4;                              AP;          Amapá;
286;                            Carmo;                                              4;                              AP;          Amapá;
287;                            Clevelandia do Norte;                               4;                              AP;          Amapá;
288;                            Corre Agua;                                         4;                              AP;          Amapá;
289;                            Cunani;                                             4;                              AP;          Amapá;
290;                            Curiau;                                             4;                              AP;          Amapá;
291;                            Cutias;                                             4;                              AP;          Amapá;
292;                            Fazendinha;                                         4;                              AP;          Amapá;
293;                            Ferreira Gomes;                                     4;                              AP;          Amapá;
294;                            Fortaleza;                                          4;                              AP;          Amapá;
295;                            Gaivota;                                            4;                              AP;          Amapá;
296;                            Gurupora;                                           4;                              AP;          Amapá;
297;                            Igarape do Lago;                                    4;                              AP;          Amapá;
298;                            Ilha de Santana;                                    4;                              AP;          Amapá;
299;                            Inaja;                                              4;                              AP;          Amapá;
300;                            Itaubal;                                            4;                              AP;          Amapá;
301;                            Laranjal do Jari;                                   4;                              AP;          Amapá;
302;                            Livramento do Pacui;                                4;                              AP;          Amapá;
303;                            Lourenco;                                           4;                              AP;          Amapá;
304;                            Macapa;                                             4;                              AP;          Amapá;
305;                            Mazagao;                                            4;                              AP;          Amapá;
306;                            Mazagao Velho;                                      4;                              AP;          Amapá;
307;                            Oiapoque;                                           4;                              AP;          Amapá;
308;                            Paredao;                                            4;                              AP;          Amapá;
309;                            Porto Grande;                                       4;                              AP;          Amapá;
310;                            Pracuuba;                                           4;                              AP;          Amapá;
311;                            Santa Luzia do Pacui;                               4;                              AP;          Amapá;
312;                            Santa Maria;                                        4;                              AP;          Amapá;
313;                            Santana;                                            4;                              AP;          Amapá;
314;                            Sao Joaquim do Pacui;                               4;                              AP;          Amapá;
315;                            Sao Sebastiao do Livramento;                        4;                              AP;          Amapá;
316;                            Sao Tome;                                           4;                              AP;          Amapá;
317;                            Serra do Navio;                                     4;                              AP;          Amapá;
318;                            Sucuriju;                                           4;                              AP;          Amapá;
319;                            Tartarugalzinho;                                    4;                              AP;          Amapá;
320;                            Vila Velha;                                         4;                              AP;          Amapá;
321;                            Vitoria do Jari;                                    4;                              AP;          Amapá;
322;                            Abadia;                                             5;                              BA;          Bahia;
323;                            Abaira;                                             5;                              BA;          Bahia;
324;                            Abare;                                              5;                              BA;          Bahia;
325;                            Abelhas;                                            5;                              BA;          Bahia;
326;                            Abobora;                                            5;                              BA;          Bahia;
327;                            Abrantes;                                           5;                              BA;          Bahia;
